text,category
Présidentielle au Cameroun: attention à ce deepfake d’Ibrahim Traoré - RFI,Politique
"Cameroun : à un mois de l'élection présidentielle, l’ONU déplore la situation politique dans le pays - africaradio.com",Politique
Présidentielle au Cameroun : la tension monte avec le report de l’annonce des résultats - Courrier international,Politique
Election présidentielle au Cameroun : les résultats imminents font craindre une instabilité politique - BBC,Politique
Élection de Paul Biya au Cameroun : une victoire qui secoue toute une nation - BBC,Politique
Cameroun: les déclarations de Paul Atanga Nji après la mort d'Anicet Ekane font polémique - RFI,Politique
"Depuis la Guadeloupe, Aurélie suit avec appréhension l'élection présidentielle au Cameroun, son pays d'adoption - Outre-mer la 1ère",Politique
Cameroun : Paul Biya et le crépuscule des dinosaures - Jeune Afrique,Politique
Cameroun: les autorités à l'heure du bilan des violences postélectorales - RFI,Politique
"Présidentielle au Cameroun : « Dans le parti de Paul Biya, il y a une crise de confiance » - Jeune Afrique",Politique
"Au Cameroun, l’ONU dénonce les restrictions de l’espace civique à l’approche de la présidentielle - Le Monde.fr",Politique
"Présidentielle au Cameroun : Issa Tchiroma Bakary, le « politique par excellence » - Jeune Afrique",Politique
"Paul Biya, “propriétaire absent” du Cameroun depuis 1982 - Courrier international",Politique
"Cameroun : Maurice Kamto, seul véritable rival de Biya, exclu de la présidentielle - Le Point",Politique
Cameroun : les sept défis capitaux de Paul Biya après la présidentielle - Jeune Afrique,Politique
Cameroun: vives réactions après la mort de l'opposant Anicet Ekane - RFI,Politique
Cameroun : Emmanuel Macron reconnaît que la France a mené « une guerre » avant et après l’indépendance - l'Opinion,Politique
"Présidentielle au Cameroun: Hermine Patricia Tomaino Ndam Njoya, candidate de l'UDC, invitée de TV5MONDE - tv5monde",Politique
Présidentielle au Cameroun: la validité de la candidature de Paul Biya contestée par un autre candidat - tv5monde,Politique
VIDÉO. Cameroun: le gouvernement change de ton et tente l'apaisement - tv5monde,Politique
Crise post-électorale au Cameroun: 'Les dirigeants actuels ont confisqué le pouvoir et s'en servent pour terroriser le peuple' - tv5monde,Politique
"Au Cameroun de Paul Biya, une si longue fin de règne - Jeune Afrique",Politique
Cameroun : l’opposant Anicet Ekane est mort en détention - Jeune Afrique,Politique
Cameroun : l’étonnante diplomatie autour de l’exil de Tchiroma Bakary - Jeune Afrique,Politique
"Au Cameroun, nouvelle opération ville morte - DW",Politique
Berlin simplifie la délivrance des visas aux Camerounais - DW,Politique
Cameroun : le changement est-il possible ? - DW,Politique
"VIDÉO. Cameroun : Paul Biya, la clé de voûte d'un système politique inamovible - tv5monde",Politique
"France-Cameroun, une opération vérité nécessaire - Le Monde.fr",Politique
"Au Cameroun, la candidature de l'opposant Maurice Kamto toujours menacée d'invalidation - RFI",Politique
Cameroun : le rôle des chefs traditionnels dans la politique - DW,Politique
Cameroun : Alice Nkom parle de la situation politique - DW,Politique
Cameroun: Maurice Kamto et son avenir politique en suspens - Yahoo Actualités,Politique
Présidentielle au Cameroun : comment Paul Biya a proposé la primature à Issa Tchiroma Bakary - Jeune Afrique,Politique
"Du Cameroun au Cap-Vert, récit de l’opposant Fabrice Lena, évadé de la prison de Douala - Jeune Afrique",Politique
Cameroun : pourquoi le pouvoir de Paul Biya a peur de Maurice kamto - Le Média,Politique
"Cameroun : Soupçonné d'enrichissement rapide, le ministre des mines annonce la fermeture des sites miniers illégaux - koaci.com",Politique
Langues et politiques au Cameroun : enjeux et perspectives d’une cohabitation complexe - OpenEdition Journals,Politique
"Cameroun, Côte d'Ivoire... Le pape Léon XIV face aux revendications des églises locales pour plus de transparence politique - tv5monde",Politique
"Au Cameroun, des élections régionales dominées par le RDPC de Paul Biya - Jeune Afrique",Politique
"Au Cameroun, manifestations et répression après la « réélection » de Paul Biya - Mediapart",Politique
Présidentielle au Cameroun: Paul Biya 'est le candidat' du RDPC malgré des défections au sein du gouvernement - tv5monde,Politique
Présidentielle au Cameroun: «Voir l'Église prendre une position distante vis-à-vis de Paul Biya est significatif» - RFI,Politique
"Au Cameroun, les candidats peinent à financer leur campagne - DW",Politique
Cameroun : 5 questions pour comprendre le duel Biya-Tchiroma et ses enjeux - Jeune Afrique,Politique
"Présidentielle au Cameroun : Hiram Iyodi, candidat déclaré de la jeunesse face à la « gérontocratie » - Jeune Afrique",Politique
"Plusieurs morts lors de manifestations au Cameroun, en amont des résultats de la présidentielle - France 24",Politique
"Au Cameroun, un sentiment entre fatalisme et amertume - DW",Politique
"Élections au Cameroun et en Côte d’Ivoire, l’alternance impossible - Radio France",Politique
"Centrafrique: Touadéra réélu président selon l'Autorité nationale des élections, Dologuélé revendique la victoire - tv5monde",Politique
Les voeux des présidents d'Afrique centrale sur fond d'élections - RFI,Politique
"L'année politique en Afrique : coups d'État, élections et manifestations - BBC",Politique
"En Tanzanie, les électeurs désertent les bureaux de vote pour les élections présidentielle et législatives, sans suspense ; des manifestants ont défilé à Dar es-Salaam - Le Monde.fr",Politique
"Cameroun : Paul Biya, 92 ans, vainqueur d’une présidentielle à la légitimité contestée - Libération",Politique
"2025 en Afrique : coups d’État, élections verrouillées...Focus avec Gilles Yabi - Boursorama",Politique
À quoi servent encore les élections en Afrique ? - DW,Politique
Faut-il suspendre les élections présidentielles pour sauver la démocratie en Afrique ? - Le Point,Politique
"Dans les élections en Afrique, il y a souvent un grand absent: l'opposition - L'Express",Politique
Centrafrique : les élections générales auront lieu le 28 décembre - Le Monde.fr,Politique
Afrique: bilan démocratique mitigé pour l'année 2025 où «la loi du plus fort s'est banalisée» - RFI,Politique
Centrafrique : le président Faustin-Archange Touadéra favori pour l'élection présidentielle - tv5monde,Politique
"En Afrique, l'opposition souvent absente des élections - DW",Politique
Election présidentielle au Cameroun : l’opposition retient son souffle - Le Monde.fr,Politique
Côte d'Ivoire: le parti d'Alassane Ouattara remporte facilement les élections législatives selon les résultats partiels - tv5monde,Politique
Election en Côte d’Ivoire : Alassane Ouattara en position de force après l’exclusion définitive de ses principaux rivaux - Le Monde.fr,Politique
"Election présidentielle au Cameroun : face à Paul Biya, 92 ans, l’espoir d’un changement - Le Monde.fr",Politique
"L’intégrité des élections en Tanzanie « compromise », selon l’Union africaine - Le Monde.fr",Politique
La Guinée-Bissau élit son prochain président avec pour enjeu majeur la stabilité - Le Monde.fr,Politique
Présidentielle et législatives en Guinée-Bissau : pourquoi faut-il s'intéresser aux élections générales - BBC,Politique
"En Afrique, les élections de 2025 se révèleront un test de crédibilité pour la défense des normes démocratiques - Africa Center for Strategic Studies",Politique
"En Tanzanie, la présidente proclamée gagnante avec plus de 97% des suffrages après trois jours de violences - Libération",Politique
Élection présidentielle en Guinée-Bissau: un vote historique sous tension avec pour enjeu majeur la stabilité - tv5monde,Politique
VIDÉO. Élections: gage de démocratie ou paravent des régimes autoritaires - tv5monde,Politique
Deepfakes et élections en Afrique : la prochaine grande menace démocratique ? - The Conversation,Politique
Élections en Tanzanie : Samia Suluhu Hassan remporte le scrutin alors que des centaines de personnes auraient trouvé la mort dans des troubles - BBC,Politique
Journal de l'Afrique - Elections générales en Guinée-Bissau : les résultats attendus la semaine prochaine - France 24,Politique
"Biya, Ouattara : retour sur des élections « gagnées d’avance » - Jeune Afrique",Politique
Elections : le président de Côte d'Ivoire s'accroche au pouvoir - Les Echos,Politique
Élections en Tanzanie : les craintes suscitées par le vote chez les personnes atteintes d'albinisme - BBC,Politique
"AFRIQUE/RÉPUBLIQUE CENTRAFRICAINE - « Les prochaines élections sont un événement historique à ne pas manquer », affirment les évêques - Agenzia Fides",Politique
La Tanzanie s’embrase après une élection présidentielle verrouillée par le pouvoir - Libération,Politique
Election présidentielle au Cameroun : Climat tendu dans les régions anglophones entre villes mortes et forte présence militaire - BBC,Politique
Présidentielle en Côte d'Ivoire: fermeture des bureaux de vote et début du dépouillement - tv5monde,Politique
Présidentielle en Côte d'Ivoire : Alassane Ouattara officialise sa candidature pour l’élection du 25 octobre - Le Point,Politique
"Élection présidentielle en Côte d'Ivoire 2025 : une ancienne première dame, un magnat et un « homme de confiance » se disputent le pouvoir - BBC",Politique
Elections générales en Guinée-Bissau : tout ce qu'il faut savoir la présidentielle et les législatives - BBC,Politique
VIDÉO. Côte d'Ivoire: une élection présidentielle sous haute sécurité - tv5monde,Politique
"Guinée-Bissau: dans l'attente des résultats des élections, l'économie tourne au ralenti - RFI",Politique
"Présidentielle en Côte d'Ivoire : les premiers résultats tombent, des scores en faveur de Ouattara dans certains départements - tv5monde",Politique
"Élections en Guinée-Bissau: journée de vote dans le calme, des électeurs mobilisés dès les premières heures - RFI",Politique
"Élections en Afrique : opposants écartés, manifestations et résultats contestés - Africanews",Politique
Election présidentielle au Cameroun : les résultats imminents font craindre une instabilité politique - BBC,Politique
Journal de l'Afrique - La tension monte au Cameroun dans l'attente des résultats de l'élection présidentielle - France 24,Politique
Ce qui s'est passé - Retour sur la proclamation officielle des résultats des élections au Cameroun et en Côte d'Ivoire d'hier - BBC,Politique
"Présidentielle au Cameroun: 5 recours déposés au Conseil constitutionnel, les résultats officiels attendus dans 10 jours - tv5monde",Politique
Guinée-Bissau: le chef de l'opposition Domingos Simoes Pereira annonce son retour en vue des élections - tv5monde,Politique
Afrique : deux mois d’élections entre continuité et changement - APAnews - Agence de Presse Africaine,Politique
Élections en Tanzanie : Crainte de plusieurs centaines de morts alors que les manifestations se poursuivent - BBC,Politique
VIDÉO. Centrafrique: qui sont les sept candidats à l'élection présidentielle du 27 décembre? - tv5monde,Politique
"Bénin: après la présidentielle, le parti d’opposition les Démocrates recalé pour les élections locales - RFI",Politique
Le grand invité Afrique - Cameroun: «L’élection présidentielle d’octobre sera sans doute un scrutin historique» - RFI,Politique
"Au Gabon, l’élection présidentielle prévue le 12 avril se jouera entre quatre candidats - Le Monde.fr",Politique
VÉRIF' - Le favori des prochaines élections en Namibie s'appelle-t-il vraiment Adolf Hitler ? - TF1 Info,Politique
Présidentielle en Côte d’Ivoire: qui pour incarner l'opposition à Alassane Ouattara? - tv5monde,Politique
Namibie : Adolf Hitler Uunona en bonne position pour décrocher un second mandat aux élections locales - i24NEWS,Politique
Élection au Malawi : Lazarus Chakwera et Peter Mutharika s'affrontent lors du match revanche de 2020 - BBC,Politique
Boycott des élections en Afrique: une stratégie payante? - DW,Politique
Érythrée : pourquoi le pays n'organise pas d'élection - BBC,Politique
Présidentielle 2025 au Cameroun : Tension post-électorale et accusations de fraude dans l'attente des résultats du scrutin - BBC,Politique
"Un an après l'élection de Donald Trump, quelles conséquences en Afrique? - RFI",Politique
Elections en Guinée : La caution de 100 000 dollars pour se présenter aux élections choque - BBC,Politique
Présidentielle en Côte d'Ivoire : récit d’une journée de vote dans un village d’Abidjan - France 24,Politique
Observatoire des élections en Afrique de l’Ouest - IRIS - Institut de relations internationales et stratégiques,Politique
Élection présidentielle 2025 en Afrique : plusieurs enjeux majeurs - Classe Export,Politique
Élection présidentielle au Cameroun 2025 - tv5monde,Politique
"Résultats élection Côte d’Ivoire 2025 : Le Conseil constitutionnel confirme Alassane Ouattara élu avec 89,77% des suffrages - BBC",Politique
"Élections en Côte d'Ivoire: la liste définitive des candidats publiée, Laurent Gbagbo et Tidjane Thiam écartés - tv5monde",Politique
Le général Mamadi Doumbouya candidat à l'élection présidentielle du 28 décembre en Guinée - BBC,Politique
Élections au Gabon : Oligui Nguema élu président pour sept ans - tv5monde,Politique
Présidentielle au Cameroun: des inquiétudes chez les pays voisins face aux risques de crise post-électorale - tv5monde,Politique
Le grand invité Afrique - Centrafrique: «Les conditions ne sont pas réunies pour des élections» - RFI,Politique
Ahoua Don Mello se porte candidat à l'élection présidentielle en Côte d'Ivoire - tv5monde,Politique
Journal de l'Afrique - Cameroun : qui sera candidat à la présidentielle du 12 octobre ? - France 24,Politique
Achille Mbembe: «Une élection libre et indépendante n'est pas possible en ce moment au Cameroun» - RFI,Politique
Encadré : Des élections cruciales attendent plusieurs pays africains en 2025 - Anadolu Ajansı,Politique
VIDÉO. Burundi : ouverture de la campagne pour les élections législatives et communales - tv5monde,Politique
Election au Cameroun 2025 : un guide pour tout savoir sur la présidentielle du 12 octobre - BBC,Politique
"Élections en Côte d'Ivoire: «La préservation de la paix» doit primer face au droit, pour Mgr Jacques Ahiwa - RFI",Politique
ANALYSE – Côte d’Ivoire et Cameroun : Le bal des mandats impossibles - lediplomate.media,Politique
Côte d'Ivoire : début du vote pour l'élection présidentielle - RTBF,Politique
Election présidentielle en Côte d'Ivoire : Charles Blé Goudé apporte son soutien à Simone Gbagbo - BBC,Politique
Election présidentielle 2025 en Côte d'Ivoire : Pourquoi le scrutin du 25 octobre est-il important ? - BBC,Politique
Guinée : le premier ministre promet un référendum et des élections présidentielle et législatives en 2025 - Le Monde.fr,Politique
Élection présidentielle en Côte d'Ivoire: des cadres de l'opposition entendus par la police après des violences à Abidjan - tv5monde,Politique
Élection de Paul Biya au Cameroun : une victoire qui secoue toute une nation - BBC,Politique
"Élection du président de la Banque africaine de développement, mode d’emploi - Jeune Afrique",Politique
"Après les élections en Allemagne, l'Afrique dans l'expectative - InfoMigrants",Politique
"La démocratie recule en Afrique, mais pas la participation politique, selon l'Afrobaromètre 2025 - RFI",Politique
"Plusieurs morts lors de manifestations au Cameroun, en amont des résultats de la présidentielle - France 24",Politique
Élection présidentielle au Cameroun : le gouvernement condamne la sortie d’Issa Tchiroma Bakary qui revendique la victoire - BBC,Politique
Afrique du Sud : Patrice Motsepe nourrit-il des ambitions présidentielles ? - Jeune Afrique,Politique
Election présidentielle au Gabon 2025 : les attentes des jeunes - BBC,Politique
Election présidentielle 2025 au Gabon : Tout ce qu'il faut savoir sur le scrutin - BBC,Politique
"Résultats élection Gabon : Brice Clotaire Oligui Nguema remporte la présidentielle avec 90,35 % des voix - BBC",Politique
Election présidentielle au Cameroun : Campagne électorale sous tension dans les régions anglophones - BBC,Politique
Revivez les temps forts de l'élection présidentielle en Côte d'Ivoire - BBC,Politique
Quels sont les pays africains où se tiendront des élections en 2025 ? - Jeune Afrique,Politique
Élections : la démocratie est-elle en péril en Afrique centrale ? - tv5monde,Politique
"Budget : Bruno Retailleau demande au gouvernement d'avoir ""le courage de faire un 49.3"" - Franceinfo",Politique
Allocation sociale unique : comment le gouvernement veut faciliter l'accès aux aides tout en encourageant le travail - Les Echos,Politique
"FORUM BFM - ""Il y a une incapacité dans ce gouvernement à prendre des décisions et à acter des choses"", déplore Samuel, président de la FDSEA 77 - BFM",Politique
Ce sujet brûlant sur lequel les députés LR sont prêts à voter la censure - Le HuffPost,Politique
"Mercosur : si Emmanuel Macron vote l’accord, «il prend le risque d'une censure» du gouvernement, prévient Bruno Retailleau - Le Figaro",Politique
Mercosur: Bardella annonce que le RN déposera une motion de censure contre le gouvernement Lecornu malgré le vote contre de la France - La Libre.be,Politique
Venezuela : « Le soutien populaire au gouvernement chaviste est tel que Trump a lui-même écarté l’opposition du pouvoir » assure Carlos Luis Rivero - L'Humanité,Politique
"États-Unis : «Aujourd’hui, notre gouvernement déclare la guerre aux sucres ajoutés», fait savoir l’Administration Trump - Le Figaro",Politique
Venezuela : l’avènement d’un gouvernement mondial des pirates et des gangsters - Alternatives Economiques,Politique
Côte d'Ivoire: le gouvernement démissionne après les législatives - Le Figaro,Politique
Le gouvernement israélien avance à marche forcée sur les colonies en Cisjordanie - Le Monde.fr,Politique
AESH : la droite sénatoriale et le gouvernement contre l’école inclusive - Projet Arcadie,Politique
"L’éducation nationale « délaisse » la ruralité, le gouvernement répond - La France Agricole",Politique
Suivez en direct les Questions au gouvernement - CNews,Politique
"""Il faut vite dégainer le 49.3"" : le gouvernement de Sébastien Lecornu pressé de trouver une solution au casse-tête budgétaire - Franceinfo",Politique
"Colère des agriculteurs : au-delà de la gestion de la mobilisation, le gouvernement attendu au tournant sur le fond - Public Sénat",Politique
"Budget : Bruno Retailleau demande au gouvernement d'avoir ""le courage de faire un 49.3"" - Radio France",Politique
"Budget : pour le 49.3, le gouvernement cherche le bon tempo - l'Opinion",Politique
"Affaire des assistants parlementaires du FN : le gouvernement estime que les risques d’ingérence américaine ne sont « pas avérés », avant le procès en appel - Le Monde.fr",Politique
PLF 2026 : le gouvernement n'exclut plus le 49-3 - LégiFiscal,Politique
Pourquoi le gouvernement n'arrive pas à contenir et apaiser la colère agricole ? - TF1 Info,Politique
"Colère des agriculteurs: Maud Bregeon dénonce des actions ""illégales"" à Paris et assure que le gouvernement ""ne laissera pas faire"" - BFM",Politique
Le M HKA dénonce le plan culturel du gouvernement flamand comme illégal - Le Quotidien de l'Art,Politique
"Grève de la faim, arrestations : comment Palestine Action embarrasse le gouvernement britannique - Libération",Politique
« C’est très pénalisant » : comment les allocations familiales vont être rabotées par un décret du gouvernement - Ouest-France,Politique
"«Une personne sérieuse, avec un projet sérieux» : le gouvernement soutient le projet de reprise d’Arc par Timothée Durand - L'Usine Nouvelle",Politique
Comment fonctionne la réquisition des médecins libéraux en grève par le gouvernement - RTL.fr,Politique
Espagne : accord entre l’Église et le gouvernement pour indemniser les victimes d’abus sexuels - La Croix,Politique
L'exécutif peine à contenir la colère agricole malgré son « non » au Mercosur - Les Echos,Politique
Questions au Gouvernement - Questions au Gouvernement du mardi 06 janvier 2026 - LCP,Politique
"Colère agricole : face aux actions des agriculteurs, le gouvernement contraint à un jeu d'équilibriste - Franceinfo",Politique
Le gouvernement Lecornu face à l’urgence budgétaire et à la crise agricole - Le Monde.fr,Politique
"Manifestation des agriculteurs à Paris : le gouvernement ""ne laissera pas faire"", déclare la porte-parole Maud Bregeon - La Montagne",Politique
Colère des agriculteurs : le gouvernement juge l’action à Paris «pas acceptable» et promet de ne pas laisser faire - Le Figaro,Politique
"Violences sexuelles: accord entre l'Eglise et le gouvernement pour ""solder une dette historique"" en Espagne - France 24",Politique
Prévention des feux de forêt et de végétation : le Gouvernement lance la campagne 2026 pour encourager le débroussaillement - Ministère de l'Intérieur,Politique
"Accord UE-Mercosur : malgré le ""non"" de la France, le RN déposera une motion de censure contre le gouvernement - TF1 Info",Politique
"Mercosur : le RN déposera une motion de censure contre le gouvernement Lecornu et la Commission européenne, annonce Jordan Bardella - europe1.fr",Politique
« Agissez et agissez vite » : une sénatrice du Tarn interpelle le Gouvernement au sujet de la crise agricole - Actu.fr,Politique
DNC : les éleveurs face au gouvernement et l’UE - l'Avant-Garde.fr,Politique
Restriction de la délivrance des antalgiques de palier I : le gouvernement n’a toujours pas tranché - Le Quotidien du Pharmacien,Politique
Comment le gouvernement veut ressusciter l’allocation sociale unique - Le Figaro,Politique
Électricité - Le cadeau très modeste du gouvernement sur les factures - Actualité - UFC-Que Choisir,Politique
Épargne salariale : syndicats et patronat s’opposent au projet du gouvernement - BDOR,Politique
Écrans et ados : le projet de loi du gouvernement présenté aux syndicats de l’Éducation nationale - Radio France,Politique
"""Le gouvernement m'a diabolisé"" : pourquoi le ""chaman QAnon"", visage de l'assaut du Capitole, s'est retourné contre Donald Trump - RTL.fr",Politique
Mercosur : Bardella annonce que le RN déposera une motion de censure contre le gouvernement Lecornu - Sud Ouest,Politique
"L'action des agriculteurs à Paris n'est ""pas acceptable"", le gouvernement ""ne laissera pas faire"" - Brut",Politique
"Le gouvernement français suspend les importations de produits contenant des pesticides, interdits dans l’Union européenne - Le Monde.fr",Politique
"Mercosur : Emmanuel Macron « prend le risque d’une censure » du gouvernement s’il vote pour l’accord de libre-échange, prévient Bruno Retailleau - Le Monde.fr",Politique
Claire Landais quitte le poste très stratégique de secrétaire générale du gouvernement - Le Monde.fr,Politique
"""Nous ne laisserons pas faire"" : la mise en garde de la porte-parole du gouvernement Maud Bregeon aux agriculteurs - RTL.fr",Politique
Espagne : accord de réparation entre le gouvernement et l’Église pour les victimes d’abus sexuels - Courrier international,Politique
"Budget 2026 : son examen reprend à l’Assemblée, le gouvernement envisage le recours au 49.3 - L’Éveil de la Haute-Loire",Politique
Attentat de Sydney : le gouvernement ordonne une commission d’enquête nationale - La Croix,Politique
"«Le gouvernement français ne se bat plus pour les agriculteurs», charge Eric Zemmour - CNews",Politique
Mercosur : le RN déposera deux motions de censure contre le gouvernement français et la commission européenne - CNews,Politique
"Mobilisation des agriculteurs : «Ce gouvernement n’écoute plus personne», affirme un manifestant - europe1.fr",Politique
Le gouvernement et le patronat s'attaquent aux ruptures conventionnelles - L'Humanité,Politique
Le vrai du faux sur la circulation en cas de neige ou de verglas - Ministères Aménagement du territoire Transition écologique,Politique
Istanbul assiégée par le gouvernement turc : épisode du podcast La ville contre l’État - Radio France,Politique
"""Permettre aux salariés de s'acheter un canapé, pas de vider leur compte"": pourquoi le gouvernement fixe une limite à 2.000 euros pour retirer son épargne salariale sans impôt (et pas 50.000 euros comme le proposent des députés) - BFM",Politique
Le gouvernement va suspendre les importations de produits d’Amérique du Sud contenant des substances interdites en Europe - Le Monde.fr,Politique
"Rupture conventionnelle : un serpent de mer et une épine dans le pied à 9,4 milliards pour le gouvernement - Capital.fr",Politique
"Le taux du Livret A va-t-il encore baisser pour passer de 1,7 à 1,4% au 1er février? Le gouvernement va rendre sa décision la semaine prochaine - BFM",Politique
Côte d'Ivoire: démission du gouvernement après les législatives - RFI,Politique
"""Le gouvernement doit s'opposer"" au Mercosur selon Michel Barnier, ancien Premier ministre - BFM",Politique
Colère agricole : la FNSEA exige un signal fort du gouvernement et appelle à manifester contre le traité Mercosur - Le Télégramme,Politique
Budget 2026 : le projet de loi de retour en commission à l’assemblée ; Amélie de Montchalin n’exclut « rien qui puisse donner à la fin un budget aux Français » - Le Monde.fr,Politique
Colère agricole : Le gouvernement sous pression - RMC,Politique
«On est à bout» : les agriculteurs font irruption à Paris pour défier le gouvernement - lejdd.fr,Politique
Le gouvernement fait le bilan de 2025 et fixe les orientations pour 2026 - lecourrier.vn,Politique
Economies d'énergie : le gouvernement prend le risque d'une hausse des prix des carburants - Les Echos,Politique
Mercosur : l'autre risque de censure pour Sébastien Lecornu - Les Echos,Politique
Séance publique du 7 janvier 2026 (après-midi) - Direct Sénat,Politique
Crise agricole : le gouvernement sous forte pression en France comme à Bruxelles - Les Echos,Politique
"""On veut continuer à maintenir la pression sur le gouvernement"": des agriculteurs occupent la place de l'Étoile à Paris - BFM",Politique
Loi spéciale : la tension monte entre le gouvernement et les sénateurs qui demandent un recours au 49.3 - Public Sénat,Politique
"Jean-François Copé (LR): ""Les partis de gouvernement commettent une erreur historique en ne parlant pas aux Français du Mercosur autrement que de manière assez démagogique"" - BFM",Politique
